second,Latitude,Longitude
155409759,35.5874668,51.2059979
155609040,35.5874667,51.2059985
155809512,35.5874667,51.205999
156026787,35.5874667,51.2059995
156187200,35.5874666,51.2059999
156410044,35.5874665,51.206
156609142,35.5874665,51.2060001
156809186,35.5874665,51.2060002
157009602,35.5874665,51.2060002
157209597,35.5874666,51.2060001
157409719,35.5874668,51.2060001
157608763,35.587467,51.206
157809425,35.5874671,51.2059999
158009455,35.5874672,51.2059999
158209587,35.5874672,51.2059999
158409609,35.5874673,51.2059998
158609495,35.5874673,51.2059998
158809148,35.5874673,51.2059998
159009536,35.5874674,51.2059998
159209459,35.5874674,51.2059999
159409767,35.5874674,51.2059998
159609440,35.5874673,51.2059998
159809500,35.5874673,51.2059998
160009414,35.5874674,51.2059998
160209806,35.5874673,51.2059998
160409599,35.5874671,51.2059995
160609621,35.5874671,51.2059995
160809203,35.5874671,51.2059996
161009559,35.5874672,51.2059997
161226707,35.5874672,51.2059997
161409720,35.5874673,51.2059996
161609600,35.5874673,51.2059997
161809595,35.5874674,51.2059996
162009601,35.5874675,51.2059994
162209523,35.5874676,51.2059994
162409709,35.5874678,51.205999
162609531,35.5874683,51.2059976
162809551,35.587469,51.2059952
162987459,35.58747,51.2059917
163209183,35.5874716,51.2059875
163409669,35.5874733,51.2059821
163609565,35.5874745,51.2059759
163809615,35.587476,51.2059691
164009643,35.5874777,51.2059615
164209081,35.5874792,51.2059532
164409709,35.5874806,51.2059441
164609523,35.5874821,51.2059345
164809558,35.5874839,51.2059236
165011808,35.5874851,51.205912
165210498,35.5874862,51.2058983
165410190,35.5874879,51.2058817
165609987,35.5874899,51.205864
165787140,35.587492,51.2058455
166010148,35.5874939,51.2058256
166210032,35.5874961,51.2058049
166427165,35.5874986,51.2057833
166610012,35.5875011,51.205761
166809996,35.5875037,51.2057379
167010186,35.5875062,51.2057137
167186976,35.5875087,51.2056878
167410540,35.5875111,51.2056606
167609993,35.5875131,51.2056315
167809743,35.5875151,51.2056014
168010021,35.5875168,51.2055702
168210090,35.5875186,51.2055384
